fake_author_ID,ctrl_obs_cat,ctrl_obs_2cat,acadmic_age,first_gender,second_gender,third_gender,mobility_status2,continent,WB_region,un_subregion,continent_new,un_subregion_new,WB_region_new
10137,top1_oxq1,Talents,19,Male,Male,Male,Non mobile,Asia,Middle East & North Africa,Southern Asia,Asia,Southern Asia,Middle East & North Africa
10138,top5-top10_oxq1,Others,21,Male,Male,Male,Non mobile,Americas,Latin America & Caribbean,Latin America and the Caribbean,Americas,Latin America and the Caribbean,Latin America & Caribbean
10139,top1_oxq1,Talents,20,Female,Male,Male,Non mobile,Asia,East Asia & Pacific,Eastern Asia,CHN,CHN,CHN
10140,top1_oxq1,Talents,19,Male,Male,Male,Non mobile,Asia,East Asia & Pacific,Eastern Asia,Asia,Eastern Asia,East Asia & Pacific
10141,top1_oxq1,Talents,18,Male,Female,Female,Non mobile,Europe,Europe & Central Asia,Western Europe,Europe,Western Europe,Europe & Central Asia
10142,top1_oxq1,Talents,20,Male,Male,Male,Internal,Americas,North America,Northern America,USA,USA,USA
10143,top1_oxq1,Talents,17,Male,Male,Male,Non mobile,Asia,Middle East & North Africa,Southern Asia,Asia,Southern Asia,Middle East & North Africa
10144,top1_oxq1,Talents,20,Female,Female,Female,Non mobile,Asia,East Asia & Pacific,Eastern Asia,CHN,CHN,CHN
10145,top5-top10_oxq1,Others,20,Female,Female,Female,Internal,Asia,East Asia & Pacific,Eastern Asia,Asia,Eastern Asia,East Asia & Pacific
10146,top1_oxq1,Talents,20,Male,Male,Male,Non mobile,Americas,North America,Northern America,Americas,Northern America,North America
